"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
81158,"Sturnella bellicosa bellicosa",110,"Subspecies","Leistes bellicosus bellicosus",110,"Subspecies",316400,2
81159,"Sturnella bellicosa albipes",110,"Subspecies","Leistes bellicosus albipes",110,"Subspecies",316410,2
81161,"Sturnella loyca",100,"Species","Leistes loyca",100,"Species",316420,4
81162,"Sturnella loyca loyca",110,"Subspecies","Leistes loyca loyca",110,"Subspecies",316430,2
81163,"Sturnella loyca catamarcana",110,"Subspecies","Leistes loyca catamarcanus",110,"Subspecies",316440,2
81164,"Sturnella loyca obscura",110,"Subspecies","Leistes loyca obscurus",110,"Subspecies",316450,2
81165,"Sturnella loyca falklandica",110,"Subspecies","Leistes loyca falklandicus",110,"Subspecies",316460,2
81160,"Sturnella defilippii",100,"Species","Leistes defilippii",100,"Species",316470,3
80894,"Cacicus melanicterus",100,"Species","Cassiculus melanicterus",100,"Species",316540,2
80872,"Ocyalus latirostris",100,"Species","Cacicus latirostris",100,"Species",316980,2
80844,"Clypicterus oseryi",100,"Species","Cacicus oseryi",100,"Species",316990,2
80986,"Icterus gularis tamaulipensis",110,"Subspecies","Icterus gularis mentalis",110,"Subspecies",317210,1
81094,"Agelaius phoeniceus brevirostris",110,"Subspecies","Agelaius phoeniceus pallidulus",110,"Subspecies",318160,1
81074,"Dives warszewiczi",100,"Species","Dives warczewiczi",100,"Species",318480,1
81072,"Dives atroviolaceus",100,"Species","Ptiloxena atroviolacea",100,"Species",318530,2
81018,"Curaeus forbesi",100,"Species","Anumara forbesi",100,"Species",319190,2
81045,"Agelaioides oreopsar",100,"Species","Oreopsar bolivianus",100,"Species",319260,1
81047,"Agelaioides badius fringillarius",110,"Subspecies","Agelaioides fringillarius",100,"Species",319310,1
80470,"Seiurus motacilla",100,"Species","Parkesia motacilla",100,"Species",319640,1
1422,"Vermivora pinus",100,"Species","Vermivora cyanoptera",100,"Species",319690,1
80480,"Parula superciliosa",100,"Species","Oreothlypis superciliosa",100,"Species",319770,1
80486,"Parula gutturalis",100,"Species","Oreothlypis gutturalis",100,"Species",319830,1
488,"Oreothlypis peregrina",100,"Species","Leiothlypis peregrina",100,"Species",319850,3
488,"Vermivora peregrina",100,"Species","Leiothlypis peregrina",100,"Species",319850,1
80488,"Vermivora celata",100,"Species","Leiothlypis celata",100,"Species",319860,1
80493,"Vermivora crissalis",100,"Species","Leiothlypis crissalis",100,"Species",319910,1
80494,"Vermivora luciae",100,"Species","Leiothlypis luciae",100,"Species",319920,1
80495,"Vermivora ruficapilla",100,"Species","Leiothlypis ruficapilla",100,"Species",319930,1
80498,"Vermivora virginiae",100,"Species","Leiothlypis virginiae",100,"Species",319960,1
80518,"Oporornis tolmiei",100,"Species","Geothlypis tolmiei",100,"Species",320150,1
80521,"Oporornis philadelphia",100,"Species","Geothlypis philadelphia",100,"Species",320180,1
80522,"Oporornis formosus",100,"Species","Geothlypis formosa",100,"Species",320190,1
80558,"Dendroica plumbea",100,"Species","Setophaga plumbea",100,"Species",320550,1
80559,"Dendroica angelae",100,"Species","Setophaga angelae",100,"Species",320560,1
80560,"Dendroica pharetra",100,"Species","Setophaga pharetra",100,"Species",320570,1
500,"Wilsonia citrina",100,"Species","Setophaga citrina",100,"Species",320580,1
80561,"Dendroica kirtlandii",100,"Species","Setophaga kirtlandii",100,"Species",320600,1
491,"Dendroica tigrina",100,"Species","Setophaga tigrina",100,"Species",320610,1
80562,"Dendroica cerulea",100,"Species","Setophaga cerulea",100,"Species",320620,1
489,"Parula americana",100,"Species","Setophaga americana",100,"Species",320630,1
80563,"Parula pitiayumi",100,"Species","Setophaga pitiayumi",100,"Species",320640,1
492,"Dendroica magnolia",100,"Species","Setophaga magnolia",100,"Species",320740,1
1275,"Dendroica castanea",100,"Species","Setophaga castanea",100,"Species",320750,1
1082,"Dendroica fusca",100,"Species","Setophaga fusca",100,"Species",320760,1
80578,"Setophaga petechia aestiva",110,"Subspecies","Setophaga aestiva",100,"Species",320770,1
1081,"Dendroica pensylvanica",100,"Species","Setophaga pensylvanica",100,"Species",321220,1
495,"Dendroica striata",100,"Species","Setophaga striata",100,"Species",321230,1
80623,"Dendroica caerulescens",100,"Species","Setophaga caerulescens",100,"Species",321240,1
494,"Dendroica palmarum",100,"Species","Setophaga palmarum",100,"Species",321270,1
80628,"Dendroica pityophila",100,"Species","Setophaga pityophila",100,"Species",321300,1
80629,"Dendroica pinus",100,"Species","Setophaga pinus",100,"Species",321310,1
83965,"Dendroica coronata",100,"Species","Setophaga coronata/auduboni",90,"Subgenus (non-standard)",321420,1
80638,"Dendroica dominica",100,"Species","Setophaga dominica",100,"Species",321440,1
80642,"Dendroica flavescens",100,"Species","Setophaga flavescens",100,"Species",321480,1
80643,"Dendroica vitellina",100,"Species","Setophaga vitellina",100,"Species",321490,1
80647,"Dendroica discolor",100,"Species","Setophaga discolor",100,"Species",321530,1
80650,"Dendroica adelaidae",100,"Species","Setophaga adelaidae",100,"Species",321560,1
80651,"Dendroica subita",100,"Species","Setophaga subita",100,"Species",321570,1
80652,"Dendroica delicata",100,"Species","Setophaga delicata",100,"Species",321580,1
80653,"Dendroica graciae",100,"Species","Setophaga graciae",100,"Species",321590,1
80658,"Dendroica nigrescens",100,"Species","Setophaga nigrescens",100,"Species",321640,1
80661,"Dendroica townsendi",100,"Species","Setophaga townsendi",100,"Species",321670,1
80662,"Dendroica occidentalis",100,"Species","Setophaga occidentalis",100,"Species",321680,1
